PROPERTY_TOTAL_VALUE,AREA_EN,ACTUAL_AREA,PROCEDURE_YEAR,PROCEDURE_NUMBER,INSTANCE_DATE,ACTUAL_WORTH,PROCEDURE_AREA,PROPERTY_TYPE_EN,PROP_SUB_TYPE_EN
"3030381","Marsa Dubai","135.92","2026","1219","2026-02-23 20:19:15","3030381.27","135.92","Unit","Flat"
"3038606","Wadi Al Safa 7","403.28","2026","2159","2026-04-27 19:13:33","3038606","403.28","Land","Land"
"3065855","Al Ttay","1139.32","2026","265","2026-01-12 13:33:06","3065855","1139.31","Land","Industrial"
"3065882","Al Ttay","1139.32","2026","263","2026-01-12 13:24:14","3065882","1139.32","Land","Industrial"
"3082177","Al Thanyah Fifth","196.95","2026","1251","2026-02-24 12:40:28","3082177.04","196.95","Unit","Flat"
"3100000","Hor Al Anz","211.36","2026","2157","2026-04-27 14:22:01","3100000","211.36","Land","Residential"
"3100035","Saih Shuaib 1","960.01","2026","1928","2026-04-15 13:28:53","3100035","960.01","Land",""
"3112346","Wadi Al Safa 7","195.57","2026","556","2026-01-22 17:08:51","3112345.92","195.57","Building","Villa"
"3125626","Me'Aisem First","246.87","2026","1774","2026-04-06 10:49:17","3125626.24","246.87","Unit","Flat"
"3131262","Hor Al Anz","342.16","2026","1963","2026-04-16 11:50:03","3131262","342.24","Land","Commercial"
"3136977","Saih Shuaib 1","971.45","2026","2014","2026-04-17 15:11:06","3136977","971.45","Land",""
"3140343","Burj Khalifa","117.05","2026","1068","2026-02-16 08:52:12","3140342.89","117.05","Unit","Flat"
"3143770","Zaabeel Second","122.12","2026","1412","2026-03-09 02:28:08","3143770","122.12","Unit","Flat"
"3163001","Burj Khalifa","117.44","2026","1681","2026-03-30 19:08:47","3163001.4","117.44","Unit","Flat"
"3167525","Wadi Al Safa 7","420.39","2026","2165","2026-04-28 09:50:53","3167525","420.39","Land","Land"
"3199946","Al Satwa","594.58","2026","562","2026-01-23 08:39:27","3199946","594.57","Land","Residential"
"3200000","Wadi Al Safa 5","145.07","2026","1260","2026-02-24 13:46:10","3200000","145.07","Building","Villa"
"3210371","Al Hebiah First","300.79","2026","1806","2026-04-07 23:30:26","3210371.28","300.79","Building","Villa"
"3213150","Um Hurair Second","194.31","2026","2002","2026-04-17 12:00:25","3213150.02","194.31","Unit","Flat"
"3229170","Al Rowaiyah Third","3000","2026","730","2026-02-02 12:53:06","3229170","3000","Land",""
"3233002","World Islands","107.27","2026","91","2026-01-06 11:43:38","3233002","107.27","Unit","Hotel Rooms"
"3242759","Wadi Al Safa 3","860.75","2026","981","2026-02-11 14:19:41","3242759","860.75","Land","Residential"
"3263431","Al Hamriya","336.87","2026","1696","2026-03-31 10:36:18","3263431","336.87","Land","Commercial"
"3272226","Wadi Al Safa 7","608","2026","19","2026-01-02 11:47:23","3272226","608","Land","Residential"
"3275301","Al Hebiah First","315.38","2026","1807","2026-04-07 23:35:14","3275301.23","315.38","Building","Villa"
"3279007","Al Baraha","304.63","2026","1657","2026-03-27 10:43:43","3279007","304.63","Land","Residential"
"3290959","Business Bay","169.05","2026","1332","2026-03-02 09:07:18","3290959.04","169.05","Unit","Office"
"3294397","Burj Khalifa","154.5","2026","1354","2026-03-03 10:20:58","3294397.19","154.5","Unit","Flat"
"3298834","Hor Al Anz","211.36","2026","1539","2026-03-17 12:52:29","3298834","211.36","Land","Residential"
"3300000","Hor Al Anz","211.35","2026","898","2026-02-09 12:42:28","3300000","211.35","Land","Residential"
"3310480","Marsa Dubai","146.42","2026","684","2026-01-29 13:49:49","3310479.81","146.42","Unit","Flat"
"3311637","Al Aweer Second","6185.48","2026","1947","2026-04-16 09:33:31","26631955","6185.48","Land","Residential"
"3380393","Al Jadaf","174.64","2026","450","2026-01-19 09:05:02","3380392.8","174.64","Unit","Flat"
"3390666","Saih Shuaib 1","900.01","2026","184","2026-01-08 13:36:37","3390666","900.01","Land",""
"3400000","Al Waheda","1281.6","2026","1624","2026-03-25 12:09:24","3400000","1281.6","Land","Government Housing"
"3419987","Abu Hail","334.45","2026","1002","2026-02-12 10:05:02","3419987","334.45","Land","Residential"
"3428673","Burj Khalifa","159.85","2026","1145","2026-02-17 14:00:49","3428673.23","159.85","Unit","Flat"
"3446642","Nadd Hessa","1185.94","2026","1671","2026-03-30 12:03:47","3446642","1185.94","Land",""
"3463553","Marsa Dubai","346.11","2026","167","2026-01-08 09:57:06","3463552.63","346.11","Unit","Flat"
"3494276","Al Khawaneej Second","1159.39","2026","1171","2026-02-19 12:23:53","3494276","1159.39","Land","Government Housing"
"3497059","Palm Jumeirah","147.04","2026","103","2026-01-06 14:39:50","3497059.18","147.04","Unit","Flat"
"3499995","Al Goze First","929.03","2026","1501","2026-03-15 12:25:59","3499995","929.03","Land","Residential"
"3500000","Muhaisanah Third","1393.55","2026","1434","2026-03-10 10:31:04","3500000","1393.55","Land","Residential"
"3500000","Al Twar Fourth","1393.55","2026","473","2026-01-20 08:45:18","3500000","1393.55","Land","Residential"
"3500000","Al Thanayah Fourth","172.29","2026","804","2026-02-04 09:27:12","3500000","172.29","Building","Villa"
"3500000","Al Hebiah Sixth","168","2026","750","2026-02-02 15:44:33","3500000","168","Building","Villa"
"3500000","Al Hebiah Sixth","168.04","2026","747","2026-02-02 15:33:54","3500000","168.04","Building","Villa"
"3500000","Al Hebiah Sixth","168.13","2026","746","2026-02-02 15:23:24","3500000","168.13","Building","Villa"
"3500000","Al Jafliya","428.93","2026","922","2026-02-10 09:19:54","3500000","428.93","Land","Residential"
"3500000","Al Hebiah Sixth","168","2026","771","2026-02-03 09:30:55","3500000","168","Building","Villa"
"3500000","Al Twar Second","1393.55","2026","1952","2026-04-16 10:15:23","3500000","1393.55","Land","Residential"
"3500000","Al Satwa","594.58","2026","316","2026-01-13 14:59:36","3500000","594.58","Land","Residential"
"3500000","Al Murqabat","231.33","2026","841","2026-02-05 11:47:04","3500000","231.33","Land","Commercial"
"3500000","Hor Al Anz","211","2026","1880","2026-04-10 10:16:20","3500000","211","Land","Residential"
"3516760","Saih Shuaib 1","933.48","2026","232","2026-01-09 16:44:26","3516760","933.48","Land",""
"3566723","Marsa Dubai","131.07","2026","189","2026-01-08 18:43:38","3566723.49","131.07","Unit","Flat"
"3581698","Ras Al Khor Industrial Second","1109.17","2026","736","2026-02-02 13:34:57","3581698","1109.17","Land","Workshop"
"3650562","Dubai Investment Park First","372.5","2026","2154","2026-04-27 12:30:49","3650562.23","372.5","Building","Villa"
"3660797","Port Saeed","523.23","2026","1784","2026-04-06 13:06:03","3660797","523.23","Land","Commercial"
"3665239","Al Khairan First","143.6","2026","599","2026-01-26 09:08:00","3665238.57","143.6","Unit","Flat"
"3674957","Al Bada","227.61","2026","2074","2026-04-22 09:51:23","3674957","227.61","Land","Residential"
"3700000","Al Hebiah Third","283.37","2026","175","2026-01-08 11:32:55","3700000","283.37","Land","Residential"
"3700000","Muhaisanah First","1115","2026","1906","2026-04-13 13:01:57","3700000","1115","Land","Residential"
"3735278","Burj Khalifa","141.06","2026","1256","2026-02-24 13:01:30","3735277.59","141.06","Unit","Hotel Apartment"
"3750035","Al Bada","232.26","2026","946","2026-02-10 17:18:54","3750035","232.26","Land","Residential"
"3754334","Marsa Dubai","259.1","2026","1383","2026-03-04 14:09:42","3754334.16","259.1","Unit","Flat"
"3796547","Marsa Dubai","177.74","2026","1977","2026-04-17 08:22:34","3796547.03","177.74","Unit","Flat"
"3800000","Al Warqa Third","1115.58","2026","1399","2026-03-05 14:03:55","3800000","1116","Land","Residential"
"3819260","Al Khairan First","149.23","2026","591","2026-01-26 08:36:01","3819259.65","149.23","Unit","Flat"
"3819260","Al Khairan First","149.23","2026","597","2026-01-26 09:04:26","3819259.65","149.23","Unit","Flat"
"3852538","Um Hurair Second","320.44","2026","1803","2026-04-07 14:08:04","3852538.07","320.44","Unit","Clinic"
"3855956","Al Khairan First","152.35","2026","671","2026-01-28 23:07:01","3855956.25","152.35","Unit","Flat"
"3860889","Marsa Dubai","242.97","2026","1504","2026-03-16 09:50:38","3860888.52","242.97","Unit","Flat"
"3875004","Al Layan1","1800","2026","153","2026-01-07 13:06:14","3875004","1800","Land","Industrial"
"3888324","Jumeirah First","555.75","2026","324","2026-01-14 08:16:10","3888324","555.75","Land","Residential"
"3892216","Me'Aisem First","259.71","2026","466","2026-01-19 11:56:24","3892216.09","259.71","Building","Villa"
"3926988","Al Baraha","1042.37","2026","1280","2026-02-25 12:28:18","3926988","1042.37","Land","Commercial"
"3935760","Al Wasl","119.22","2026","1707","2026-03-31 20:00:49","3935760","119.22","Unit","Flat"
"3937004","Jabal Ali Industrial First","914.4","2026","1470","2026-03-12 10:52:58","3937004","914.4","Land",""
"3980302","Business Bay","150.58","2026","1319","2026-02-27 09:12:15","3980302.47","150.58","Unit","Office"
"3988831","Al Wasl","160.04","2026","959","2026-02-11 11:25:49","3988830.59","160.04","Unit","Flat"
"3995835","Jumeirah First","149.88","2026","1787","2026-04-06 14:20:57","3995835.45","149.88","Unit","Flat"
"3999994","Ghadeer Al tair","929.03","2026","1341","2026-03-02 11:31:00","3999994","929.03","Land","Residential"
"4000000","Al Warqa Second","1076.83","2026","2181","2026-04-29 08:04:48","4000000","1076.83","Land","Residential"
"4000000","Al Warqa Third","1217.96","2026","497","2026-01-20 13:47:15","4000000","1217.96","Land","Residential"
"4000000","Al Hebiah Sixth","311.37","2026","873","2026-02-06 14:22:20","4000000","311.37","Building","Villa"
"4000000","Al Thanayah Fourth","287.3","2026","494","2026-01-20 13:21:34","4000000","567.92","Building","Villa"
"4000000","Jumeirah First","203.36","2026","1299","2026-02-26 11:42:26","4000000","203.36","Land","Residential"
"4000000","Al Warqa Second","1212.38","2026","780","2026-02-03 12:17:12","4000000","1212.38","Land","Residential"
"4000000","Al Goze First","929.03","2026","2096","2026-04-22 13:05:49","4000000","929.03","Land","Residential"
"4000000","Al Aweer Second","2065.8","2026","422","2026-01-16 08:31:24","4000000","2068.42","Land","Residential"
"4000000","Me'Aisem First","190.4","2026","431","2026-01-16 09:15:13","4000000","190.4","Land","Residential"
"4000000","Jabal Ali First","224","2026","559","2026-01-22 17:31:10","4000000","224","Land","Commercial"
"4000000","Jabal Ali First","224","2026","559","2026-01-22 17:31:10","4000000","224","Land","Commercial"
"4000000","Jabal Ali First","238","2026","1923","2026-04-13 18:01:01","4000000","238","Land","Commercial"
"4000000","Hor Al Anz","231.14","2026","1344","2026-03-02 11:51:19","4000000","231.19","Land","Residential"
"4003912","Hor Al Anz","422.7","2026","163","2026-01-07 15:32:25","4003912","422.7","Land","Commercial"
"4004007","Hor Al Anz","422.71","2026","844","2026-02-05 14:27:07","4004007","422.71","Land","Residential"
"4053215","Al Khairan First","158.61","2026","579","2026-01-23 13:55:56","4053214.6","158.61","Unit","Flat"
"4060576","Al Wasl","158.84","2026","1738","2026-04-01 17:15:28","4060576.34","158.84","Unit","Flat"
"4097817","Al Karama","423","2026","872","2026-02-06 11:57:18","4097817","423","Land","Commercial"
"4133817","Saih Shuaib 1","1097.27","2026","1284","2026-02-25 14:33:49","4133817","1097.27","Land",""
"4134300","Al Thanyah Third","187.39","2026","1221","2026-02-23 20:44:44","4134300.14","187.39","Unit","Flat"
"4177771","Wadi Al Safa 6","646.88","2026","1168","2026-02-19 11:50:57","4177771","646.88","Land","Residential"
"4194005","Business Bay","158.34","2026","1317","2026-02-27 09:03:14","4194004.58","158.34","Unit","Office"
"4200000","Al Twar Second","929.03","2026","542","2026-01-22 10:11:37","4200000","929.03","Land","Residential"
"4201365","Nad Al Hamar","1394","2026","304","2026-01-13 13:24:34","4201365","1394","Land","Residential"
"4252978","Marsa Dubai","112.89","2026","408","2026-01-15 11:25:17","4252978","112.89","Unit","Flat"
"4264057","Burj Khalifa","174.47","2026","48","2026-01-05 11:14:02","4264057.18","174.47","Unit","Flat"
"4296991","Burj Khalifa","159.52","2026","1368","2026-03-04 10:14:16","4296991.11","159.52","Unit","Flat"
"4300000","Marsa Dubai","160.86","2026","1396","2026-03-05 12:30:43","4300000","160.86","Unit","Flat"
"4300000","Al Suq Al Kabeer","335.94","2026","931","2026-02-10 10:39:51","4300000","335.94","Land","Commercial"
"4300000","Al Waheda","1335.02","2026","529","2026-01-21 12:41:26","4300000","1340.87","Land","Commercial"
"4300000","Al Satwa","232.26","2026","1900","2026-04-13 10:33:11","4300000","232.26","Land",""
"4320113","Al Suq Al Kabeer","334.46","2026","860","2026-02-06 09:13:02","4320113","334.46","Land","Commercial"
"4320113","Al Suq Al Kabeer","334.46","2026","910","2026-02-09 14:44:26","4320113","334.46","Land","Commercial"
"4334850","Al Wasl","137.99","2026","1704","2026-03-31 19:44:50","4334850","137.99","Unit","Flat"
"4339617","Al Ttay","2015.82","2026","2053","2026-04-21 10:22:50","4339617","2015.82","Land","Industrial"
"4359238","Palm Jumeirah","155.8","2026","580","2026-01-23 14:58:13","4359237.83","155.8","Unit","Flat"
"4399994","Al Qusais Industrial Third","1858.06","2026","23","2026-01-02 16:47:05","4399994","1858.06","Land","Industrial"
"4400000","Al Yufrah 1","300","2026","1445","2026-03-10 12:17:28","4400000","300","Building","Villa"
"4438578","Palm Jumeirah","185.5","2026","624","2026-01-26 14:59:17","4438577.62","185.5","Unit","Flat"
"4440066","Al Qusais Industrial Fifth","2062.48","2026","933","2026-02-10 11:15:12","4440066","2062.48","Land",""
"4454850","Al Bada","752.49","2026","940","2026-02-10 14:22:52","4454850","752.49","Land","Residential"
"4499994","Jabal Ali Industrial First","929.03","2026","958","2026-02-11 11:19:08","4499994","929.03","Land",""
"4500000","Saih Shuaib 1","1138.55","2026","1711","2026-04-01 07:32:32","4500000","1138.55","Land",""
"4500000","Jumeirah First","585.29","2026","928","2026-02-10 10:19:19","4500000","585.29","Land","Residential"
"4500000","Al Rashidiya","1952.63","2026","412","2026-01-15 13:38:07","4500000","1950.96","Land","Residential"
"4500000","Al Barshaa South First","1185.07","2026","7","2026-01-02 08:25:05","4500000","1185.07","Land","Government Housing"
"4500000","Al Aweer First","1150.77","2026","9","2026-01-02 09:58:16","4500000","1150.77","Land",""
"4500000","Al Wasl","464.52","2026","337","2026-01-14 09:23:20","4500000","464.52","Land","Residential"
"4500000","Al Rashidiya","1858.05","2026","309","2026-01-13 14:28:18","4500000","1858.06","Land","Residential"
"4500000","Al Goze First","929.03","2026","62","2026-01-05 16:21:13","4500000","929.03","Land","Residential"
"4500000","Al Goze Industrial Third","1858.06","2026","1888","2026-04-10 15:03:02","4500000","1858.06","Land","Industrial"
"4500010","Mirdif","1393.55","2026","646","2026-01-27 12:38:29","4500010","1393.55","Land","Residential"
"4503045","Nad Al Shiba First","464.83","2026","1030","2026-02-12 16:19:46","4503045","464.83","Land","Villa"
"4506537","Palm Jumeirah","182.73","2026","101","2026-01-06 14:32:22","4506536.62","182.73","Unit","Flat"
"4512967","Burj Khalifa","152.95","2026","1306","2026-02-26 12:25:34","4512966.76","152.95","Unit","Flat"
"4517350","Mirdif","699.46","2026","2125","2026-04-27 07:36:06","4517350","699.46","Land","Residential / Attached Villas"
"4549901","Al Karama","211.35","2026","2112","2026-04-23 11:15:14","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","935","2026-02-10 12:22:19","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","1783","2026-04-06 12:39:32","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","775","2026-02-03 11:10:40","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","1249","2026-02-24 12:20:07","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","896","2026-02-09 12:34:43","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","503","2026-01-20 16:12:46","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","1339","2026-03-02 10:43:25","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","643","2026-01-27 12:14:07","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","993","2026-02-12 09:20:17","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","902","2026-02-09 13:15:46","4549901","211.35","Land","Commercial"
"4549901","Al Karama","211.35","2026","988","2026-02-12 09:07:17","4549901","211.35","Land","Commercial"
"4550116","Al Karama","211.35","2026","266","2026-01-12 13:50:44","4550116","211.36","Land","Commercial"
"4553776","Al Karama","211.35","2026","295","2026-01-13 11:20:57","4553776","211.53","Land","Commercial"
"4560019","Al Karama","211.82","2026","1649","2026-03-26 13:13:28","4560019","211.82","Land","Commercial"
"4601421","Al Thanyah Third","193.11","2026","577","2026-01-23 12:05:29","4601420.93","193.11","Unit","Flat"
"4636874","Marsa Dubai","271.46","2026","1304","2026-02-26 12:13:50","4636874.3","271.46","Unit","Flat"
"4667604","Al Suq Al Kabeer","289.86","2026","1552","2026-03-18 11:43:02","4667604","289.09","Land","Commercial"
"4677100","Mirdif","835.61","2026","1979","2026-04-17 08:31:46","4677100","835.61","Land","Residential / Villas"
"4679982","Al Bada","668.9","2026","2155","2026-04-27 12:53:13","4679982","668.9","Land","Residential"
"4800000","Al Barshaa South First","1114.84","2026","1405","2026-03-06 10:46:53","4800000","1114.84","Land","Residential"
"4800000","Al Warqa Second","1178.1","2026","1540","2026-03-17 12:54:53","4800000","1178.1","Land","Residential"
"4800699","Al Qusais Industrial First","2229.67","2026","1629","2026-03-25 14:35:27","4800699","2230","Land","Residential"
"4875993","Warsan Fourth","4529.95","2026","1980","2026-04-17 08:31:54","4875993","4529.95","Land","Commercial"
"4892230","Mirdif","826.37","2026","1978","2026-04-17 08:23:08","4892230","826.37","Land","Residential / Villas"
"4900000","Al Hamriya","257.62","2026","1921","2026-04-13 14:57:44","4900000","257.62","Land","Commercial"
"4910362","Saih Shuaib 1","1140.47","2026","1179","2026-02-19 14:30:26","4910362","1140.47","Land",""
"4912687","Naif","351.08","2026","318","2026-01-13 15:04:44","4912687","351.08","Land","Commercial"
"4918672","Nad Al Shiba First","456.96","2026","1823","2026-04-08 12:44:20","4918672","456.96","Land","Villa"
"4921255","Jabal Ali Industrial First","914.4","2026","465","2026-01-19 11:51:57","4921255","914.4","Land",""
"4996699","Al Mararr","403.66","2026","1945","2026-04-16 09:12:01","4996699","403.66","Land","Commercial"
"4999444","Um Suqaim First","422.24","2026","26","2026-01-02 18:32:17","4999444","422.24","Land","Residential"
"4999993","Jabal Ali Industrial First","1858.06","2026","525","2026-01-21 11:58:04","4999993","1858.06","Land","Warehouse"
"4999993","Al Ttay","1858.06","2026","463","2026-01-19 11:09:57","4999993","1858.06","Land","Labor Camp"
"5000000","Al Twar Third","1487.4","2026","1743","2026-04-02 08:21:28","5000000","1487.4","Land","Residential"
"5000000","Ras Al Khor Industrial First","3180.07","2026","809","2026-02-04 12:22:18","5000000","3180.07","Land","Industrial"
"5000000","Nad Al Hamar","1393.55","2026","1674","2026-03-30 13:50:40","5000000","1393.55","Land","Residential"
"5000000","Al Barsha South Fifth","601.52","2026","66","2026-01-05 20:15:50","5000000","601.52","Land","Residential"
"5000000","Mirdif","743.21","2026","2117","2026-04-24 08:59:51","5000000","743.21","Land","Residential"
"5000000","Al Twar Third","1393.55","2026","2182","2026-04-29 08:09:11","5000000","1393.55","Land","Residential"
"5000000","Marsa Dubai","124.94","2026","1298","2026-02-26 11:40:42","5000000","124.94","Unit","Flat"
"5000000","Jumeirah First","278.71","2026","1313","2026-02-26 14:47:48","5000000","278.71","Land","Residential"
"5000047","Al Karama","232.26","2026","1325","2026-02-27 11:22:12","5000047","232.26","Land","Commercial"
"5003384","Nad Al Shiba First","464.83","2026","1324","2026-02-27 11:05:20","5003384","464.83","Land","Villa"
"5005009","Hor Al Anz","422.71","2026","1323","2026-02-27 10:35:56","5005009","422.71","Land","Residential"
"5005041","Al Bada","357.68","2026","783","2026-02-03 15:11:25","5005041","357.68","Land","Residential"
"5027903","Burj Khalifa","160.56","2026","1305","2026-02-26 12:22:06","5027902.65","160.56","Unit","Flat"
"5037193","Mirdif","1337.06","2026","1630","2026-03-25 15:48:41","5037193","1337.06","Land","Residential"
"5039981","Al Suq Al Kabeer","334.45","2026","965","2026-02-11 12:04:50","5039981","334.45","Land","Commercial"
"5048355","Nad Al Shiba First","586.26","2026","1886","2026-04-10 12:10:27","5048355","586.26","Land","Villa"
"5055911","Mankhool","469.71","2026","1386","2026-03-05 10:25:03","5055911","469.71","Land",""
"5064372","Mirdif","980.2","2026","2026","2026-04-20 10:36:42","5064372","980.2","Land","Residential / Villas"
"5065457","Mirdif","980.41","2026","2027","2026-04-20 10:38:46","5065457","980.41","Land","Residential / Villas"
"5105425","Nad Al Shiba First","474.31","2026","1786","2026-04-06 14:00:49","5105425","474.31","Land","Villa"
"5122395","Al Hebiah First","314.66","2026","1679","2026-03-30 14:42:10","5122395.34","314.66","Unit","Office"
"5139203","Muhaisanah Fourth","1193.62","2026","657","2026-01-28 08:45:42","5139203","1193.62","Land","Residential"
"5153454","Jabal Ali Industrial First","1367.92","2026","1765","2026-04-03 17:22:18","5153454","1367.92","Land",""
"5191636","Burj Khalifa","209.03","2026","474","2026-01-20 09:13:18","5191635.86","209.03","Unit","Flat"
"5202467","Mirdif","1380.93","2026","1661","2026-03-28 10:39:27","5202467","1380.93","Land","Residential"
"5207424","Eyal Nasser","268.77","2026","1866","2026-04-09 14:35:31","5207424","268.77","Land","Commercial"
"5223021","Al Yelayiss 1","970.47","2026","612","2026-01-26 12:21:22","5223021","970.47","Land","Villa"
"5235561","Wadi Al Safa 7","608","2026","1761","2026-04-03 12:13:34","5235561","608","Land","Residential"
"5250011","Nad Al Hamar","1393.55","2026","2116","2026-04-24 08:46:23","5250011","1393.55","Land","Residential"
"5250374","Burj Khalifa","206.94","2026","1731","2026-04-01 13:52:56","5250373.86","206.94","Unit","Flat"
"5252676","Jabal Ali Industrial First","975.98","2026","2100","2026-04-23 09:32:26","5252676","975.98","Land","Labor Camp"
"5333932","Al Khawaneej First","900.98","2026","104","2026-01-06 14:48:18","5333932","900.98","Land","Residential"
"5333932","Al Khawaneej First","900.98","2026","943","2026-02-10 14:41:40","5333932","900.98","Land","Residential"
"5426091","Al Barshaa South Second","1200.24","2026","386","2026-01-15 08:52:39","5426091","1200.24","Land","Commercial"
"5456006","Al Baraha","460.8","2026","810","2026-02-04 12:24:32","5456006","460.8","Land","Commercial"
"5464800","Al Thanayah Fourth","254.62","2026","722","2026-02-02 11:32:06","5464800","254.62","Building","Villa"
"5476134","Al Warqa First","925","2026","1028","2026-02-12 14:06:01","5476134","925","Land","Government Housing"
"5482081","Al Hebiah Second","1455.15","2026","827","2026-02-05 10:35:29","5482081","1455.15","Land",""
"5495100","Wadi Al Safa 7","638.14","2026","1639","2026-03-26 10:54:38","5495100","638.14","Land","Residential"
"5500000","Muhaisanah Third","1393.55","2026","1693","2026-03-31 09:57:25","5500000","1393.55","Land","Residential"
"5500000","Al Jafliya","455.22","2026","1321","2026-02-27 10:25:42","5500000","455.22","Land","Residential"
"5500000","Abu Hail","224.18","2026","1688","2026-03-31 09:50:24","5500000","224.18","Land","Residential"
"5500000","Al Mizhar Second","1858.06","2026","621","2026-01-26 13:56:34","5500000","1858","Land","Residential"
"5500000","Al Jafliya","915.28","2026","1310","2026-02-26 13:24:40","5500000","915.28","Land","Government Housing"
"5500000","Nad Al Shiba First","428.94","2026","403","2026-01-15 10:10:33","5500000","428.94","Land","Villa"
"5500000","Me'Aisem First","223.23","2026","432","2026-01-16 09:46:24","5500000","223.23","Land","Residential"
"5525188","Business Bay","217.97","2026","980","2026-02-11 14:04:27","5525187.67","217.97","Unit","Office"
"5532564","Al Qusais Industrial Fifth","2055.97","2026","932","2026-02-10 10:50:29","5532564","2055.97","Land",""
"5538037","Al Suq Al Kabeer","395.77","2026","456","2026-01-19 10:03:17","5538037","395.77","Land","Commercial"
"5600000","Madinat Al Mataar","369.65","2026","1447","2026-03-10 12:24:03","5600000","369.65","Building","Villa"
"5719179","Burj Khalifa","208.47","2026","141","2026-01-07 10:14:46","5719178.64","208.47","Unit","Flat"
"5796898","Jumeirah First","861.68","2026","806","2026-02-05 07:37:17","5796898","861.68","Land","Residential"
"5800000","Jabal Ali First","390.75","2026","1887","2026-04-10 13:46:06","5800000","390.75","Land","Commercial"
"5818835","Al Khawaneej First","900.98","2026","1446","2026-03-10 12:19:53","5818835","900.98","Land","Residential"
"5818835","Al Khawaneej First","900.98","2026","1448","2026-03-10 12:25:01","5818835","900.98","Land","Residential"
"5829233","Jumeirah First","833.16","2026","850","2026-02-05 15:13:32","5829233","833.16","Land","Residential"
"5900000","Al Barshaa South First","1114.84","2026","688","2026-01-29 15:04:24","5900000","1114.84","Land","Government Housing"
"5914010","Al Raffa","549.43","2026","56","2026-01-05 12:21:06","5914010","549.43","Land","Commercial"
"5973189","Muhaisanah Second","1849.76","2026","1891","2026-04-10 18:04:40","5973189","1849.76","Land",""
"5994201","Al Layan1","2784.4","2026","1537","2026-03-17 12:28:07","5994201","2784.4","Land","Industrial"
"5994308","Hor Al Anz","929.03","2026","836","2026-02-05 11:24:15","5994308","928.15","Land","Residential"
"5999992","Mirdif","1858.06","2026","508","2026-01-21 08:57:35","5999992","1858.06","Land","Residential"
"5999992","Muhaisanah Second","1858.06","2026","1617","2026-03-25 09:32:33","5999992","1858.06","Land","Industrial"
"6000000","Al Hebiah Third","450","2026","448","2026-01-19 08:54:08","6000000","450","Land","Residential"
"6000000","Al Jafliya","1393.55","2026","1247","2026-02-24 12:08:40","6000000","1393.55","Land","Residential"
"6000000","Al Mizhar First","1393.55","2026","2061","2026-04-21 11:59:40","6000000","1393.55","Land","Residential"
"6000000","Al Bada","668.9","2026","1449","2026-03-10 12:34:02","6000000","669","Land","Residential"
"6000000","Nad Al Hamar","1375","2026","625","2026-01-26 15:15:26","6000000","1375","Land","Residential"
"6000000","Al Hudaiba","686.27","2026","1271","2026-02-25 09:56:14","6000000","686.27","Land",""
"6000000","Jumeirah Third","481.75","2026","1931","2026-04-14 12:43:35","6000000","481.75","Land","Residential"
"6000000","Mirdif","915.88","2026","2118","2026-04-24 09:04:45","6000000","915.88","Land","Residential"
"6000000","Jumeirah Third","481.75","2026","1929","2026-04-14 12:30:54","6000000","481.75","Land","Residential"
"6000000","Al Khawaneej First","917.31","2026","13","2026-01-02 10:41:15","6000000","917.31","Land","Residential"
"6000000","Nad Al Hamar","1840.68","2026","464","2026-01-19 11:12:18","6000000","1840.68","Land","Residential"
"6000000","Al Mizhar Third","1114.84","2026","822","2026-02-05 09:56:10","6000000","1114.84","Land","Residential"
"6000000","Ghadeer Al tair","929.03","2026","1107","2026-02-16 15:36:26","6000000","929.03","Land","Government Housing"
"6000056","Al Bada","232.26","2026","1899","2026-04-13 10:29:18","6000056","232.26","Land","Residential"
"6001951","Al Barsha Second","1393.55","2026","1009","2026-02-12 11:42:12","6001951","1394","Land","Residential"
"6098772","Al Murqabat","629.51","2026","1362","2026-03-03 12:41:50","6098772","629.55","Land","Commercial"
"6200000","Al Hebiah Sixth","623.61","2026","218","2026-01-09 09:10:12","6200000","623.61","Land","Residential"
"6200000","Burj Khalifa","165.18","2026","399","2026-01-15 09:43:07","6200000","165.18","Unit","Flat"
"6232610","Al Baraha","1052.78","2026","864","2026-02-06 09:51:52","6232610","1052.78","Land","Commercial"
"6263513","Saih Shuaib 1","1058","2026","1098","2026-03-04 10:34:32","6263513","1058","Land",""
"6298394","Wadi Al Safa 5","1671.83","2026","611","2026-01-26 12:18:41","6298394","1671.83","Land","Commercial"
"6303668","Al Khawaneej First","900.97","2026","1120","2026-02-17 09:14:55","6303668","900.97","Land","Residential"
"6303878","Al Khawaneej First","901","2026","1117","2026-02-17 09:05:04","6303878","901","Land","Residential"
